title,namespace,wiki,url,edit_count,characters_added,new,deleted,pageviews,pageviews_link
Stream_bed,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Stream_bed,1,71,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Stream_bed
Spring_(hydrology),1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Spring_(hydrology),1,72,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Spring_(hydrology)
Paradox_of_the_plankton,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Paradox_of_the_plankton,1,72,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Paradox_of_the_plankton
Oxygen_minimum_zone,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Oxygen_minimum_zone,1,73,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Oxygen_minimum_zone
Biological_oceanography,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Biological_oceanography,1,70,true,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Biological_oceanography
History_of_marine_biology,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:History_of_marine_biology,1,68,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:History_of_marine_biology
Productivity_(ecology),1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Productivity_(ecology),1,73,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Productivity_(ecology)
Heterotroph,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Heterotroph,1,73,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Heterotroph
Food_web,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Food_web,1,69,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Food_web
Aquatic_ecosystem,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Aquatic_ecosystem,1,70,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Aquatic_ecosystem
Dissolved_organic_carbon,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Dissolved_organic_carbon,2,1192,false,false,2706,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Dissolved_organic_carbon
Dissolved_organic_carbon,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Dissolved_organic_carbon,1,634,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Dissolved_organic_carbon
Total_organic_carbon,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Total_organic_carbon,1,29,false,false,9691,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Total_organic_carbon
Total_organic_carbon,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Total_organic_carbon,1,71,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Total_organic_carbon
Lake_metabolism,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Lake_metabolism,8,5515,true,false,96,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Lake_metabolism
Lake_metabolism,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Lake_metabolism,3,297,true,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Lake_metabolism
Species_distribution_modelling,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Species_distribution_modelling,10,6221,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Species_distribution_modelling
Jayzlimno,3,en.wikipedia.org,https://en.wikipedia.org/wiki/User_talk:Jayzlimno,3,394,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=User_talk:Jayzlimno
WikiProject_Limnology_and_Oceanography/to_do,4,en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Limnology_and_Oceanography/to_do,4,136,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Wikipedia:WikiProject_Limnology_and_Oceanography/to_do
Stream_metabolism,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Stream_metabolism,1,22,false,false,223,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Stream_metabolism
Limnology,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Limnology,5,2072,false,false,12101,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Limnology
WikiProject_Limnology_and_Oceanography,4,en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Limnology_and_Oceanography,11,657,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Wikipedia:WikiProject_Limnology_and_Oceanography
WikiProject_Limnology_and_Oceanography,5,en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia_talk:WikiProject_Limnology_and_Oceanography,5,2629,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Wikipedia_talk:WikiProject_Limnology_and_Oceanography
WikiProject_Geography,5,en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia_talk:WikiProject_Geography,3,835,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Wikipedia_talk:WikiProject_Geography
Village_pump_(idea_lab),4,en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:Village_pump_(idea_lab),1,237,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Wikipedia:Village_pump_(idea_lab)
Tlrogers,3,en.wikipedia.org,https://en.wikipedia.org/wiki/User_talk:Tlrogers,1,309,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=User_talk:Tlrogers
Plankton,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Plankton,1,68,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Plankton
River_delta,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:River_delta,1,68,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:River_delta
Sea_foam,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Sea_foam,1,73,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Sea_foam
Sea_surface_temperature,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Sea_surface_temperature,1,69,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Sea_surface_temperature
Acoustic_release,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Acoustic_release,1,71,true,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Acoustic_release
Anoxic_event,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Anoxic_event,1,68,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Anoxic_event
Brunt–Väisälä_frequency,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Brunt–Väisälä_frequency,1,72,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Brunt–Väisälä_frequency
Downwelling,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Downwelling,1,72,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Downwelling
Rip_tide,1,en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Rip_tide,1,72,false,false,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-11-26&end=2099-01-01&project=en.wikipedia.org&pages=Talk:Rip_tide
